id,type,turkish,english
0,noun,alkol,alcohol
1,noun,inşaat,construction
2,noun,ortak,partner (business)
3,noun,cümle,sentence
4,noun,pis koku,stink (stench)
5,noun,ateş,fire
6,noun,sinir,anger
7,adjective,sinirli,angry
8,noun,benzin,gasoline
9,noun,mor,purple
10,noun,kule,tower
11,adjective,sarışın,blonde
12,noun,gardırop,wardrobe
13,noun,fiyat,cost (price)
14,adjective,milli,national
15,adjective,fakir,poor
16,adjective,kibar,polite
17,noun,deri aksesuarlar,leather accessories
18,noun,özgürlük,freedom
19,adjective,mükemmel,excellent
20,noun,tornavida,screwdriver
21,noun,müşteri,customer
22,verb,sokmak,to put in (to insert)
23,noun,harita,map
24,verb,tanışmak,to meet (first time)
25,verb,dönümek,to turn
26,adjective,konuşkan,talkative
27,noun,minder,cushion
28,adjective,tek,single (sole)
29,noun,tek sayı,odd number
30,adjective,serin,chilly (cool)
31,verb,beslemek,to feed
32,verb,ezmek,to crush
33,adverb,üstelik,moreover (also)
34,adjective,eşit,even (money)
35,verb,arındırmak,to purify
36,adverb,başka bir,another
37,adjective,aynı,the same
38,noun,durum,situation
39,noun,başkan,president
40,noun,sopa,stick
41,verb,tekrar,repeat
42,verb,seçmek,to pick (to choose)
43,noun,dal,branch
44,verb,merak etmek,to wonder
45,noun,sivrisinek,mosquito (gnat)
46,adjective,utangaç,shy
47,noun,gezi,trip (cruise)
48,verb,atmak,to throw
49,adjective,fena,bad
50,noun,yağ,oil
51,noun,tane,"piece (item, each)"
52,noun,krem,cream
53,noun,saygı,respect
54,adjective,nazik,kind (gentle)
55,adjective,bile,even (comparing with)
56,noun,kayısı,apricot
57,verb,binmek,to ride
58,verb,dolaşmak,to wander (to roam)
59,verb,ısınmak,to warm up
60,adjective,(bir) sonraki,(the) next
61,phrase,iyi o zaman...,well then...
62,adjective,geçen,last (previous)
63,noun,gizem,mystery
64,adjective,aç,hungry
65,noun,açlık,hunger
66,noun,sahte,fake
67,adjective,zengin,rich
68,verb,yorulmak,to be/get tired
69,noun,bilek,wrist
70,noun,testis,testacles
71,noun,vücut,body
72,noun,yumurtalık,ovary
73,adjective,kusursuz,perfect (flawless)
74,noun,kusur,flaw
75,verb,taşımak,"to carry (to move, to transport)"
76,noun,maksimum,maximum
77,verb,beğenmek,to like
78,noun,toplantı,meeting
79,noun,parça,piece
80,noun,el işleri,handmade items
81,verb,kazanmak,to win
82,verb,yakmak,to burn
83,verb,korumak,to protect
84,verb,oturmak,to reside
85,noun,parti,party
86,noun,bulut,cloud
87,noun,ipucu,hint
88,noun,indir,download
89,verb,götürmek,to take
90,noun,şey,thing (stuff)
91,noun,inanç,belief (faith)
92,noun,hayal,imagination
93,adjective,yaygın,common
94,noun,hırsız,thief
95,noun,plak,record (vinyl)
96,noun,çamaşır makinesi,washing machine (laundry)
97,phrase,üstü kalsın,keep the change
98,noun,komodin,bedside table
99,verb,tapmak,to worship
100,adjective,sessiz,quiet
101,noun,büfe,"buffet (food stand, kiosk)"
102,noun,odun,firewood
103,adjective,keskin,sharp
104,adjective,çekici,attractive (charming)
105,adjective,ileride,up ahead
106,noun,insan,human (person)
107,noun,bekle,expect
108,noun,müdür,manager
109,adjective,doğru,true
110,noun,bulaşık makinesi,dishwasher
111,adverb,henüz,yet
112,adverb,ya,either
113,verb,kalmak,to stay
114,adjective,düzenli,tidy
115,adjective,düzensiz,untidy
116,verb,buluşmak,to meet (at somewhere)
117,noun,havalimanı,airport
118,noun,yanlışlık,mistake
119,noun,hata,error
120,noun,ruh,spirit (soul)
121,noun,kültür,culture
122,noun,hırs,"ambition (greed, avid)"
123,adjective,hırslı,ambitious
124,noun,gümüş,silver
125,noun,sincap,squirrel
126,adverb,yani,so
127,adjective,pis,filthy
128,verb,sıçramak,to splash
129,verb,zıplamak,to bounce
130,noun,sır,secret
131,noun,ip,thread (yarn)
132,adjective,tatlı,sweet
133,adjective,tatsız,unpleasant
134,adjective,alt,bottom (lower)
135,phrase,iyi eğlenceler,have fun (have a good time)
136,adjective,kızgın,mad
137,adjective,ekşi,sour
138,adjective,yapışkan,sticky
139,verb,öksürmek,to cough
140,adjective,memnun,glad
141,noun,geyik,deer
142,adjective,acı,bitter
143,verb,doldurmak,to fill
144,adjective,kıskanç,jealous
145,noun,koridor,hallway (corridor)
146,noun,millet,nation
147,adverb,bazen,sometimes
148,adjective,kasa,safe
149,adverb,çoğu,"mostly (usually, most of)"
150,verb,koymak,to put (to place)
151,noun,lamba,lamp
152,noun,kas,muscle
153,adverb,bu sırada,meanwhile
154,noun,dil,tongue (language)
155,noun,bakır,copper
156,noun,suç,crime
157,noun,bal arısı,honeybee
158,noun,grip,flu
159,adverb,etrafında,around (in vicinity)
160,adjective,kaygan,slippery
161,noun,grafiker,graphic designer
162,adverb,seyrek,seldom
163,adjective,çiftçi,farmer
164,noun,çiftlik,farm
165,adjective,susamış,thirsty
166,noun,motor,engine
167,phrase,bu sefer...,this time...
168,noun,konuşma,conversation
169,noun,giriş,entrance (entry)
170,adjective,defo,defect
171,noun,yetenek,talent (skill)
172,noun,köle,slave
173,noun,kölelik,slavery
174,noun,rapor,report
175,noun,balta,axe
176,adjective,şaşırtıcı,surprising
177,adjective,kocaman,huge
178,verb,demek,to say
179,adjective,saçma,absurd (silly)
180,noun,ses,voice (sound)
181,noun,kişi,"person (guy, girl)"
182,verb,spor yapmak,to do sport
183,verb,görünmek,to seem
184,phrase,ertesi,the following (after)
185,noun,ün,fame
186,adjective,ünlü,famous
187,noun,bilgi,information
188,verb,kiralamak,to rent
189,adjective,baharatsız,bland (unseasoned)
190,noun,pürüz,rough
191,verb,esneme hareketleri yapmak,to stretch
192,noun,reklam,advertisement
193,verb,vidalamak,to screw
194,noun,hükümet,government
195,noun,cehennem,hell
196,verb,girmek,to enter
197,adjective,çıplak,naked (nude)
198,noun,delik,hole
199,noun,üçlü,triple
200,noun,füze,missle
201,verb,asmak,to hang
202,noun,hediyelike eşya,souvenir
203,noun,hindi,turkey (bird)
204,noun,bomba,bomb
205,noun,efsane,myth (legend)
206,noun,roket,rocket
207,adjective,saf,naive
208,noun,oda,room
209,noun,oy,vote
210,verb,kirletmek,to make dirty (to pollute)
211,verb,gömmek,to bury
212,noun,bez,cloth (rag)
213,adjective,patlamak,"to explode (burst, erupt)"
214,noun,ürün,product
215,adjective,müsait,available (people)
216,noun,çift,double (pair)
217,noun,vida,screw
218,verb,utandırmak,to embarrass
219,noun,grup,group
220,noun,hastane,hospital
221,verb,para çekmek,to withdraw money
222,noun,dünya,world
223,verb,akmak,to flow
224,verb,gönüllü olmak,to volunteer
225,adverb,eğer,if
226,noun,kâlp,heart
227,verb,dua etmek,to pray
228,adjective,her yerde,everywhere
229,verb,korkutmak,to scare
230,phrase,güle güle kullanın,use it with a smile
231,adjective,minik,tiny
232,noun,hapis,prison
233,noun,tutsak,prisoner
234,adjective,üzgün,sad
235,adjective,kayıp,lost
236,noun,kalabalık,crowd(ed)
237,verb,düzenlemek,to organize
238,adverb,yine,again
239,verb,sabretmek,to be patient
240,noun,fark,difference
241,noun,tünel,tunnel
242,adjective,sakin,calm (quiet)
243,noun,düğün resepsiyonu,wedding reception
244,noun,raf,shelf
245,noun,sebze,vegetable
246,adjective,sarhoş,drunk
247,adverb,arasına,between (people)
248,adverb,arasında,"between (places, things)"
249,noun,kilise,church
250,adjective,kalın,thick
251,noun,olası,possible
252,adjective,olasılı,probable
253,verb,karşılaşmak,to run into (to come across)
254,noun,kertenkele,lizard
255,phrase,telefon çalıyor,the phone is ringing
256,noun,denge,balance
257,noun,mizah,humor
258,noun,tehlike,danger
259,adjective,garip,strange
260,adverb,olmalı,should be
261,noun,sınır,limit
262,adjective,açgözlü,greedy
263,noun,hava,air
264,noun,başarı,success
265,noun,yağmur,rain
266,noun,büro,office
267,noun,mevsim,season
268,adjective,arkadaş canlısı,friendly (sociable)
269,noun,paket,package
270,noun,ülke,country
271,noun,piyano,piano
272,adjective,küstah,arrogant
273,noun,toprak,earth
274,noun,merak,wonder
275,adjective,meraklı,curious
276,noun,karpuz,watermelon
277,adverb,"ya da
(veya)",or
278,noun,kavun,melon
279,noun,hamur,dough
280,adjective,şirin,cute
281,adjective,bir kaç,a few
282,noun,zincir,chain
283,verb,yanıtlamak,to respond
284,verb,kaçmak,to escape
285,verb,ayırtmak,to book (to reserve)
286,verb,telefona bakmak,to answer the phone
287,verb,kıskanmak,to be jealous
288,verb,gülümsemek,to smile
289,adjective,aptal,fool (stupid)
290,adjective,aptalca,foolish
291,noun,tasarım,design
292,noun,kuaför,hairdresser
293,noun,cevap,answer
294,verb,cevap vermek,to answer
295,noun,bakır eşyalar,copper items
296,adjective,terbiyeli,manner (well behaved)
297,verb,terbiye,training (to be behaved)
298,noun,akciğer,lung
299,adjective,amca,uncle
300,adjective,dağınık,messy
301,noun,eş,spouse
302,noun,sabır,patience
303,verb,takip etmek,to follow
304,adverb,beraber,together
305,noun,umut,hope
306,adjective,mevcut,available (objects)
307,adjective,bayat,stale (not fresh)
308,adjective,hoş,nice
309,verb,kandırmak,to trick (to deceive)
310,noun,bütün,whole
311,verb,yaşamak,to live
312,verb,ölmek,to die
313,noun,böbrek,kidney
314,noun,güç,power
315,adjective,kusurlu,flawed
316,noun,kelebek,butterfly
317,verb,yuvarlanmak,to roll
318,verb,kâbus görmek,to have a nightmare
319,adjective,ince,thin (objects)
320,noun,kil,clay
321,adjective,anlayış,understanding
322,noun,bisiklet,bicycle
323,verb,varmak,to arrive
324,adjective,yaşlı,old
325,noun,altın,gold (golden)
326,noun,hiç bir şey,nothing
327,verb,uğramak,to pop in
328,noun,devlet,state (branch of government)
329,noun,lezzet,flavor
330,adjective,lezzetli,flavorful
331,adjective,lezzetsiz,tastless (flavorless)
332,noun,cüzdan,wallet
333,adjective,en çok,at most
334,noun,erik,plum
335,adjective,bitmek,to be done (to end)
336,noun,ibadet,religious practice
337,adverb,toplam,total (totally)
338,noun,hız,speed (pace)
339,noun,dergi,magazine
340,noun,pikap,record player
341,adjective,hakkında,"about (regarding, concerning)"
342,noun,paspas,doormat
343,adjective,izinli,on leave
344,adjective,gergin,tense (rigid)
345,adjective,güçsüz,weak (powerless)
346,adjective,güçlü,powerful
347,verb,tasalanmak,to worry
348,noun,izin,permission (authorize)
349,adjective,izinsiz,unauthorized
350,phrase,ya sen?,what about you?
351,phrase,Acaba...,I wonder...
352,noun,gaye,purpose
353,noun,amaç,goal
354,adjective,basit,simple
355,phrase,kim...?,who...?
356,noun,saat,"watch (hour, o'clock)"
357,noun,oyun,game
358,adjective,öbür,the other
359,verb,sıkmak,to tighten
360,verb,sıkmak için,to squeeze
361,noun,deri,leather
362,verb,kanıksamak,to get used to
363,verb,karşılaştırmak,to compare
364,verb,bakım,to look after (to care for)
365,verb,kakalamak,to poop
366,noun,havuç,carrot
367,noun,savaş,war
368,adjective,çeşıt,type of (kind of)
369,adjective,çeşitli,various
370,noun,asgari,minimum
371,noun,dışkı,"poop (feces, stool)"
372,adjective,en fazla,utmost (of the highest)
373,noun,teyze,aunt
374,verb,istemek,to want
375,noun,salatalık,cucumber
376,adjective,üst,top
377,noun,barış,peace
378,noun,takı,jewelry
379,noun,insanlar,people
380,noun,başbakan,prime minister
381,verb,seyahat etmek,to travel
382,noun,kaya,rock
383,noun,komşuluk,neighborhood
384,noun,plaj,beach
385,noun,toz,dust
386,noun,basar,flood
387,noun,daire,apartment
388,noun,içeride,inside
389,noun,mağaza,department store
390,noun,iş,business (work)
391,noun,tepe,hill
392,noun,orman,"forest (woods, jungle)"
393,adjective,ses,vocal (voice)
394,noun,tapınak,temple (place to worship)
395,verb,ayakta durmak,to stand
396,noun,tilki,fox
397,adjective,uykulu,sleepy (drowsy)
398,verb,endişelenmek,to fret
399,adjective,iyimser,optimistic
400,verb,kaygılanmak,to be anxious
401,noun,doğum,birth
402,noun,doğmuş,born
403,verb,sahip olmak,to own
404,noun,silâh,weapon
405,noun,patron,boss
406,adjective,yüksek,loud
407,noun,hayvan,animal
408,adjective,hızlı,fast
409,noun,ölü,dead
410,adjective,ölümcül,deadly (fatal)
411,verb,yanmak,to be burned
412,noun,yanık,burnt
413,noun,değer,value
414,adjective,degerli,valuable
415,adjective,değersiz,worthless (valueless)
416,adjective,asabi,irritable
417,noun,devrim,revolution
418,noun,sehpa,coffee table
419,verb,şikayet etmek,to complain
420,phrase,peki,well then (all right)
421,noun,fener,lighthouse
422,noun,el feneri,flashlight
423,verb,arzu etmek,to wish
424,adjective,ağır,heavy
425,verb,gürültü yapmak,to make noise
426,adjective,gürültülü,noisy
427,noun,köşe,corner
428,adjective,duygusal,emotional
429,noun,sıfır,zero
430,verb,nefes almak,to breathe
431,noun,mürekkep,ink
432,adjective,korkutucu,scary
433,noun,aurupa,europe
434,adjective,müttefik,allied
435,adjective,sakar,clumsy
436,adjective,karanlık,dark
437,noun,takım,team (sports)
438,noun,bağırsak,"bowel (intestine, guts)"
439,adjective,ciddi,serious
440,adjective,kötümser,pessimistic
441,verb,emmek,to suck
442,noun,sıkışmış,stuck
443,noun,köprü,bridge
444,noun,karaciğer,liver
445,noun,siyaset,politics
446,noun,kask,helmet
447,noun,istasyon,station
448,noun,soru,question
449,verb,basmak,to press
450,verb,üstüne basmak,to step on (to tread)
451,adjective,genç,young
452,noun,taraf,way (side)
453,noun,kitaplık,bookcase
454,adverb,artık,anymore (no longer)
455,verb,taklit etmek,to imitate
456,verb,kontrol etmek,to control
457,adjective,taze,fresh
458,verb,kaymak,to slip
459,adjective,parlak,bright
460,noun,incir,fig
461,verb,doymak,to be full
462,verb,osurmak,to fart
463,noun,ücret,fee
464,phrase,ücretsiz,free of charge
465,noun,hukuk,law
466,adjective,nadir,rare
467,adverb,nadiren,rarely
468,noun,mühendis,engineer
469,noun,sanatçı,artist
470,noun,sanat,art
471,verb,kanamak,to bleed
472,adjective,en az,least
473,phrase,en azından,at least
474,phrase,olur,all right (approval)
475,adjective,yetenekli,skillful
476,adjective,yeteneksiz,untalented
477,adjective,tuzlu,salty
478,noun,sorun,"problem (issue, trouble)"
479,adjective,zeki,intelligent
480,verb,katılmak,to join
481,noun,çöl,desert
482,noun,doğayı,nature
483,noun,muhasebeci,accountant
484,noun,pençe,claw
485,noun,pati,paw
486,verb,toplamak,to gather (to collect)
487,noun,yanlış,wrong
488,noun,askeri,military
489,noun,ordu,army
490,noun,adalet,justice
491,adjective,adaletsiz,unjust
492,verb,sallanmak,to rock
493,noun,baharat,spice
494,adjective,baharatlı,spicy
495,adjective,pürüzlü,rough
496,adjective,pürüzsüz,smooth
497,noun,örümcek,spider
498,noun,somon,salmon
499,noun,duman,smoke
500,adjective,dumanlı,smokey
501,adjective,dumansız,smokeless
502,noun,gerek,need
503,adjective,gerekli,needful
504,adjective,gereksiz,needless
505,noun,yaş,age
506,verb,affetmek,to forgive
507,noun,kilit,lock
508,verb,kilitlemek,to lock
509,noun,reklam ajansı,advertising agency
510,noun,verim,"efficiency (yield, output)"
511,adjective,verimli,productive (efficient)
512,adjective,verimsiz,unproductive (inefficient)
513,noun,özel,private (special)
514,noun,dolu,full
515,noun,zarar,harm
516,adjective,zararlı,harmful
517,adjective,zararsız,harmless
518,adjective,zalim,cruel
519,adjective,çirkin,ugly
520,noun,yol,path
521,noun,kara,land (soil)
522,verb,çıkıvermek,to hop out of (to dart)
523,noun,uç,"point (tip, edge)"
524,noun,pil,battery
525,noun,fırsat,opportunity
526,verb,canım çekiyor,to crave for
527,adjective,çift sayı,even number
528,noun,çivi,nail
529,noun,tiyatro,theatre
530,verb,sohbet etmek,to chat
531,noun,oğul,son
532,noun,kaplan,tiger
533,noun,asya,asia
534,phrase,o kadar,that's all
535,verb,düşmek,to fall
536,adjective,boş,empty
537,verb,hissetmek,to feel
538,verb,ölçmek,to measure
539,noun,fikir,idea
540,verb,kaybetmek,to lose (something)
541,verb,rüya görmek,to dream
542,adjective,cılgın,crazy
543,noun,kaş,(eye)brow
544,noun,çamur,mud
545,adjective,yasak,forbidden
546,adjective,farklı,different
547,adjective,farksız,indifferent
548,adjective,neşe,joy (cheer)
549,adjective,kaba,rude (impolite)
550,adjective,mutlu,happy
551,noun,tavşan,bunny rabbit
552,noun,bayram,festival (feast)
553,adjective,benzer,similar
554,adjective,benzersiz,unalike
555,phrase,sabırlı (ol),(be) patient
556,noun,mermi,bullet
557,noun,yer,place
558,phrase,afiyet olsun,bon appetit
559,adverb,sonunda,finally
560,adjective,olasılık,possibility
561,adjective,olasılıklı,probability
562,noun,lise,high school
563,verb,duymak,to hear
564,adverb,dedi,said
565,verb,telefon çalmak,to call (phone)
566,adjective,dengeli,balanced
567,adjective,dengesiz,unbalanced
568,verb,dengelemek,to balance
569,adjective,tehlikeli,dangerous
570,noun,olma,being
571,adjective,sınırlı,limited
572,adjective,sınırsız,limitless
573,adjective,yuvarlak,round
574,adjective,başarılı,successful
575,adjective,başarısız,fail (unsuccessful)
576,noun,satranç,chess
577,noun,zemin,ground
578,noun,araç,tool
579,phrase,bence,in my opinion
580,noun,zaman,time
581,verb,seslenmek,to call out
582,noun,eczane,pharmacy
583,verb,sevişmek,to make love
584,noun,espri,wit
585,adjective,esprili,witty
586,noun,halat,rope
587,noun,asansör,elevator
588,adjective,dürüst,honest
589,noun,sınıf,class (grade)
590,verb,ödemek,to pay
591,noun,bilet,ticket
592,phrase,kolay gelsin,may it come easy
593,verb,yalamak,to lick
594,verb,yapmak,to make (to do)
595,noun,kasırga,hurricane
596,noun,soğan,onion
597,verb,fırçalamak,to brush
598,verb,zaman geçirmek,to spend time
599,adverb,"daki-
deki-",which is- which are-
600,verb,korkmak,to be scared
601,adverb,keşke,if only (I wish)
602,adverb,özellikle,especially
603,noun,sağlık,health
604,adjective,sağlıklı,healthy
605,adjective,sağlıksız,unhealthy
606,noun,sempatik,sympathy
607,adjective,anlayışlı,sympathetic
608,adjective,anlayışsız,unsympathetic
609,adverb,...bir süre,for a while...
610,noun,cennet,heaven
611,verb,bırakmak,to quit (to leave it)
612,noun,çekiç,hammer
613,noun,vergi,tax
614,noun,bant,tape
615,verb,bantlamak,to tape
616,verb,dört gözle beklemek,to look forward to
617,noun,yarat,create
618,adjective,yaratıcı,creative (creator)
619,verb,yaratmak,to create
620,verb,aramak,to call (phone)
621,verb,yumruklamak,to punch
622,phrase,şerefe,cheers
623,adverb,acele et,hurry up
624,verb,acele etmek,to hurry up
625,verb,tutmak,to hold
626,phrase,geçmiş olsun,get well soon
627,noun,sebep,reason
628,noun,bölge,area
